,,,,,,,,,,,,, Cases ,,,,,,,,,,,,
,,,,,,,,,,,,," 466,447 "," 348,258 "," 450,425 "," 471,999 "," 405,982 "," 576,109 "," 388,876 "," 425,828 "," 324,297 "," 549,971 "," 450,617 "," 387,248 "," 5,246,057 "
 Sourcing Unit , DU , Brand , Sub-Category , Technology Detailed ,Line, Size , Country , Sales Org OpCo , Product DU , Pouches/CS , Tonnes/CS , 2025 Growth ,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25, Total 25 
Lerma,67153824,,Sabor,Small Granulated,Mateer 1,7.9oz, US Retail  , US Retail ,KNR LAT CKN GR RDC S12/7.9 OZ,,0.0026876,9.5%," 6,071 "," 3,655 "," 5,311 "," 3,820 "," 4,172 "," 4,794 "," 4,512 "," 5,780 "," 4,469 "," 5,236 "," 4,692 "," 5,499 "," 58,011 "
Batavia,68832541,,Sabor,Large Granulated,0,2.5lb, US Retail  , US Retail ,KNR MEX BOL TOM/CHK 192 2.5 LB,,0.2177266,18.0%, 473 , 352 , 682 , 514 , 581 , 557 , 719 , 501 , 603 , 510 , 837 , 486 ," 6,815 "
Batavia,68832540,,Sabor,Large Granulated,0,2.5lb, US Retail  , US Retail ,KNR MEX BOUIL Beef 192 2.5 LB,,0.2177266,18.0%, 131 , 336 , 210 , 274 , 260 , 304 , 307 , 299 , 263 , 311 , 492 , 296 ," 3,483 "
Indy,64786716,,Sabor,Large Granulated,15,2lb, US Retail  , US Retail ,KNR MEX BOUIL CHK 6 2 LB,,0.0054432,6.3%,,,,," 5,429 "," 27,774 ", (480),, -   ," 89,231 "," 28,507 "," 24,452 "," 174,913 "
Lerma,69559815,,Sabor,Large Granulated,Mateer 3,2lb, US Retail  , US Retail ,KNR MEX BOUIL CHK 6 2 LB,,0.0054432,6.3%," 115,296 "," 85,824 "," 135,777 "," 113,156 "," 124,224 "," 166,523 "," 63,558 "," 45,315 ", -   ," 95,969 "," 55,510 ",," 1,001,152 "
Lerma,64321451,,Sabor,Large Granulated,Mateer 3,2lb, US Retail  , US Retail ,KNR MEX BOL TOM/CHK 6 2 LB,,0.0054432,6.3%," 9,600 ",,,,,,,,,,,," 9,600 "
Indy,64786715,,Sabor,Large Granulated,15,2lb, US Retail  , US Retail ,KNR MEX BOL TOM/CHK 6 2 LB,,0.0054432,6.3%,,,,," 4,320 "," 3,637 "," 56,595 "," 46,264 "," 14,932 "," 1,056 "," 69,505 "," 30,996 "," 227,305 "
