row,sourcing_unit,du,brand,sub_category,technology_detailed,line,size,country,sales_org_opco,product_du,pouches_cs,tonnes_cs,growth_2025,total_cases_2025,total_tonnes_2025
4,Lerma,67153824,,Sabor,Small Granulated,Mateer 1,7.9oz,US Retail,US Retail,KNR LAT CKN GR RDC S12/7.9 OZ,,0.0026875623695908554,0.095,58011.0,155.908
5,Batavia,68832541,,Sabor,Large Granulated,0,2.5lb,US Retail,US Retail,KNR MEX BOL TOM/CHK 192 2.5 LB,,0.21772657171368956,0.18,6814.908283305343,1483.787
6,Batavia,68832540,,Sabor,Large Granulated,0,2.5lb,US Retail,US Retail,KNR MEX BOUIL Beef 192 2.5 LB,,0.21772657171368956,0.18,3483.2484354573226,758.396
7,Indy,64786716,,Sabor,Large Granulated,15,2lb,US Retail,US Retail,KNR MEX BOUIL CHK 6 2 LB,,0.0054431642928422395,0.0625,174913.0,952.08
8,Lerma,69559815,,Sabor,Large Granulated,Mateer 3,2lb,US Retail,US Retail,KNR MEX BOUIL CHK 6 2 LB,,0.0054431642928422395,0.0625,1001152.0,5449.435
9,Lerma,64321451,,Sabor,Large Granulated,Mateer 3,2lb,US Retail,US Retail,KNR MEX BOL TOM/CHK 6 2 LB,,0.0054431642928422395,0.0625,9600.0,52.254
10,Indy,64786715,,Sabor,Large Granulated,15,2lb,US Retail,US Retail,KNR MEX BOL TOM/CHK 6 2 LB,,0.0054431642928422395,0.0625,227305.0,1237.258
11,Indy,64786714,,Sabor,Large Granulated,15,2lb,US Retail,US Retail,KNR MEX BOUIL Beef 6 2 LB,,0.0054431642928422395,0.0625,107762.0,586.566
12,Lerma,69664938,,Sabor,Large Granulated,Mateer 3,2lb,US Retail,US Retail,KNR MEX BOUIL Beef 6 2 LB,,0.0054431642928422395,0.0625,184305.0,1003.202
13,Lerma,69559813,,Sabor,Large Granulated,Mateer 3,40.5oz,US Retail,US Retail,KNR MEX BOUIL CHK 480 2.53lb 40.5z,,0.5508482264356347,0.18,18457.12875002026,10167.077
14,Batavia,68821555,,Sabor,Large Granulated,0,40.5oz,US Retail,US Retail,KNR MEX BOUIL CHK 480 2.53lb 40.5z,,0.5508482264356347,0.18,0.0,0.0
15,Batavia,68164766,,Sabor,Large Granulated,0,2lb,US Retail,US Retail,KNR LAT Chicken GRAN 480 2.0LB PAL,,0.4354531434273791,0.0625,6188.407852654556,2694.762
16,Batavia,68164768,,Sabor,Large Granulated - MixMod,0,2lb,US Retail,US Retail,KNR LAT CHKN/TOM CHKN 480 2.0LB PAL,,0.4354531434273791,0.0625,649.114854046301,282.659
17,Batavia,68164770,,Sabor,Large Granulated - MixMod,0,2lb,US Retail,US Retail,Knorr HISP CKN TOM BF 480 2.0LB PAL,,0.4354531434273791,0.0625,602.6864633451008,262.442
